date,year,month,day_of_week,season,resort,resort_id,vertical_feet,vertical_meters,lift_rides,has_gps,gps_distance_km,gps_max_altitude_m,gps_duration_seconds,gps_max_speed_kph
2010-12-25,2010,12,Saturday,2010-11,Keystone,3,19664,5993.59,14,False,,,,
2011-01-08,2011,1,Saturday,2010-11,Breckenridge,2,21272,6483.71,14,False,,,,
2011-01-15,2011,1,Saturday,2010-11,Vail,1,6175,1882.14,6,False,,,,
2011-01-29,2011,1,Saturday,2010-11,Beaver Creek,4,12584,3835.6,7,False,,,,
2011-02-19,2011,2,Saturday,2010-11,Keystone,3,11415,3479.29,10,False,,,,
2011-02-26,2011,2,Saturday,2010-11,Keystone,3,7594,2314.65,6,False,,,,
2011-03-05,2011,3,Saturday,2010-11,Breckenridge,2,14813,4515.0,8,False,,,,
2011-03-29,2011,3,Tuesday,2010-11,Keystone,3,9905,3019.04,8,False,,,,
2011-03-30,2011,3,Wednesday,2010-11,Beaver Creek,4,7571,2307.64,5,False,,,,
2011-03-31,2011,3,Thursday,2010-11,Beaver Creek,4,12673,3862.73,7,False,,,,
2011-12-17,2011,12,Saturday,2011-12,Keystone,3,7848,2392.07,6,False,,,,
2011-12-18,2011,12,Sunday,2011-12,Beaver Creek,4,8763,2670.96,5,False,,,,
2011-12-22,2011,12,Thursday,2011-12,Vail,1,9690,2953.51,8,False,,,,
2011-12-23,2011,12,Friday,2011-12,Keystone,3,7565,2305.81,6,False,,,,
2011-12-25,2011,12,Sunday,2011-12,Breckenridge,2,9251,2819.7,6,False,,,,
2012-01-21,2012,1,Saturday,2011-12,Beaver Creek,4,6206,1891.59,3,False,,,,
2012-03-03,2012,3,Saturday,2011-12,Beaver Creek,4,15990,4873.75,9,False,,,,
2012-03-04,2012,3,Sunday,2011-12,Breckenridge,2,15590,4751.83,10,False,,,,
2012-03-05,2012,3,Monday,2011-12,Keystone,3,17003,5182.51,12,False,,,,
2012-03-06,2012,3,Tuesday,2011-12,Vail,1,16601,5059.98,12,False,,,,
2012-03-07,2012,3,Wednesday,2011-12,Keystone,3,17839,5437.33,13,False,,,,
2012-03-16,2012,3,Friday,2011-12,Keystone,3,15647,4769.21,12,False,,,,
2012-03-17,2012,3,Saturday,2011-12,Keystone,3,11485,3500.63,9,False,,,,
2012-12-25,2012,12,Tuesday,2012-13,Keystone,3,11280,3438.14,8,False,,,,
2012-12-26,2012,12,Wednesday,2012-13,Keystone,3,23013,7014.36,17,False,,,,
2012-12-27,2012,12,Thursday,2012-13,Keystone,3,17906,5457.75,14,False,,,,
2012-12-28,2012,12,Friday,2012-13,Keystone,3,3960,1207.01,3,False,,,,
2013-03-27,2013,3,Wednesday,2012-13,Keystone,3,17658,5382.16,12,False,,,,
2013-03-28,2013,3,Thursday,2012-13,Beaver Creek,4,14844,4524.45,9,False,,,,
2013-11-26,2013,11,Tuesday,2013-14,Keystone,3,13211,4026.71,11,False,,,,
2014-01-02,2014,1,Thursday,2013-14,Keystone,3,1325,403.86,1,False,,,,
2014-12-24,2014,12,Wednesday,2014-15,Vail,1,4682,1427.07,3,False,,,,
2014-12-25,2014,12,Thursday,2014-15,Keystone,3,19213,5856.12,17,False,,,,
2015-02-01,2015,2,Sunday,2014-15,Keystone,3,1325,403.86,1,False,,,,
2015-03-07,2015,3,Saturday,2014-15,Keystone,3,18775,5722.62,14,False,,,,
2015-04-01,2015,4,Wednesday,2014-15,Keystone,3,9255,2820.92,7,False,,,,
2015-12-23,2015,12,Wednesday,2015-16,Keystone,3,7834,2387.8,6,False,,,,
2017-01-06,2017,1,Friday,2016-17,Vail,1,9380,2859.02,8,False,,,,
2017-01-07,2017,1,Saturday,2016-17,Vail,1,730,222.5,5,False,,,,
2017-01-21,2017,1,Saturday,2016-17,Keystone,3,8239,2511.25,6,False,,,,
2020-01-17,2020,1,Friday,2019-20,Keystone,3,10905,3323.84,8,False,,,,
2020-02-14,2020,2,Friday,2019-20,Keystone,3,15461,4712.51,11,False,,,,
2021-01-27,2021,1,Wednesday,2020-21,Keystone,3,13505,4116.32,11,False,,,,
2021-01-29,2021,1,Friday,2020-21,Keystone,3,4719,1438.35,6,False,,,,
2021-02-01,2021,2,Monday,2020-21,Keystone,3,22747,6933.29,19,False,,,,
2021-02-04,2021,2,Thursday,2020-21,Keystone,3,13875,4229.1,11,False,,,,
2021-02-13,2021,2,Saturday,2020-21,Beaver Creek,4,2894,882.09,5,False,,,,
2021-02-16,2021,2,Tuesday,2020-21,Beaver Creek,4,22574,6880.56,14,False,,,,
2021-02-19,2021,2,Friday,2020-21,Keystone,3,24812,7562.7,20,False,,,,
2021-02-23,2021,2,Tuesday,2020-21,Vail,1,33667,10261.7,21,False,,,,
2021-03-05,2021,3,Friday,2020-21,Breckenridge,2,9025,2750.82,6,False,,,,
2021-03-06,2021,3,Saturday,2020-21,Breckenridge,2,11193,3411.63,7,False,,,,
2021-11-13,2021,11,Saturday,2021-22,Beaver Creek,4,5628,1715.41,3,False,,,,
2021-12-04,2021,12,Saturday,2021-22,Keystone,3,2151,655.62,4,False,,,,
2021-12-11,2021,12,Saturday,2021-22,Vail,1,11886,3622.85,10,False,,,,
2021-12-19,2021,12,Sunday,2021-22,Keystone,3,3975,1211.58,3,False,,,,
2021-12-24,2021,12,Friday,2021-22,Keystone,3,11925,3634.74,9,False,,,,
2021-12-26,2021,12,Sunday,2021-22,Keystone,3,11598,3535.07,9,False,,,,
2022-01-14,2022,1,Friday,2021-22,Vail,1,9678,2949.85,7,False,,,,
2022-01-22,2022,1,Saturday,2021-22,Keystone,3,7747,2361.29,6,False,,,,
2022-02-05,2022,2,Saturday,2021-22,Vail,1,21336,6503.21,15,False,,,,
2022-02-19,2022,2,Saturday,2021-22,Beaver Creek,4,14595,4448.56,9,False,,,,
2022-02-27,2022,2,Sunday,2021-22,Vail,1,30028,9152.53,21,False,,,,
2022-03-27,2022,3,Sunday,2021-22,Keystone,3,11779,3590.24,10,False,,,,
2022-04-24,2022,4,Sunday,2021-22,Vail,1,16094,4905.45,11,False,,,,
2022-11-05,2022,11,Saturday,2022-23,Beaver Creek,4,9591,2923.34,5,False,,,,
2022-11-12,2022,11,Saturday,2022-23,Vail,1,20714,6313.63,18,False,,,,
2022-11-13,2022,11,Sunday,2022-23,Beaver Creek,4,14591,4447.34,8,False,,,,
2022-11-19,2022,11,Saturday,2022-23,Vail,1,17344,5286.45,12,False,,,,
2022-11-25,2022,11,Friday,2022-23,Vail,1,12379,3773.12,9,False,,,,
2022-12-03,2022,12,Saturday,2022-23,Vail,1,22162,6754.98,16,False,,,,
2022-12-04,2022,12,Sunday,2022-23,Vail,1,12517,3815.18,9,False,,,,
2022-12-17,2022,12,Saturday,2022-23,Vail,1,24772,7550.51,17,False,,,,
2022-12-21,2022,12,Wednesday,2022-23,Vail,1,29252,8916.01,18,False,,,,
2022-12-24,2022,12,Saturday,2022-23,Vail,1,22032,6715.35,15,False,,,,
2022-12-25,2022,12,Sunday,2022-23,Beaver Creek,4,6894,2101.29,3,False,,,,
2022-12-25,2022,12,Sunday,2022-23,Keystone,3,15300,4663.44,11,False,,,,
2023-01-06,2023,1,Friday,2022-23,Beaver Creek,4,20462,6236.82,11,False,,,,
2023-01-07,2023,1,Saturday,2022-23,Vail,1,21459,6540.7,14,False,,,,
2023-01-08,2023,1,Sunday,2022-23,Vail,1,12842,3914.24,9,False,,,,
2023-01-13,2023,1,Friday,2022-23,Beaver Creek,4,16162,4926.18,10,False,,,,
2023-01-14,2023,1,Saturday,2022-23,Beaver Creek,4,15298,4662.83,9,False,,,,
2023-01-20,2023,1,Friday,2022-23,Beaver Creek,4,39155,11934.44,20,False,,,,
2023-02-04,2023,2,Saturday,2022-23,Vail,1,22361,6815.63,16,False,,,,
2023-02-05,2023,2,Sunday,2022-23,Vail,1,18378,5601.61,13,False,,,,
2023-02-11,2023,2,Saturday,2022-23,Beaver Creek,4,23349,7116.78,13,False,,,,
2023-02-17,2023,2,Friday,2022-23,Beaver Creek,4,28886,8804.45,15,False,,,,
2023-02-18,2023,2,Saturday,2022-23,Vail,1,22859,6967.42,17,False,,,,
2023-02-19,2023,2,Sunday,2022-23,Vail,1,13681,4169.97,11,False,,,,
2023-02-24,2023,2,Friday,2022-23,Beaver Creek,4,25665,7822.69,16,False,,,,
2023-02-25,2023,2,Saturday,2022-23,Beaver Creek,4,13104,3994.1,6,False,,,,
2023-03-03,2023,3,Friday,2022-23,Vail,1,11510,3508.25,8,False,,,,
2023-03-04,2023,3,Saturday,2022-23,Vail,1,25989,7921.45,18,False,,,,
2023-03-05,2023,3,Sunday,2022-23,Vail,1,7055,2150.36,5,False,,,,
2023-03-11,2023,3,Saturday,2022-23,Vail,1,25852,7879.69,18,False,,,,
