Date,Resort,Snow (24hr),Snow (48hr),Mid-Mt Depth,Surface Conditions,Lifts Open,Green Runs,Blue Runs,Black Runs,Double Black Runs
2025-02-09,Arapahoe Basin,"2""","8""",52”,HP/PP,9/9,100%,100%,100%,79%
2025-02-09,Aspen Highlands,"7""","11""",41”,PP,5/5,,100%,100%,84%
2025-02-09,Aspen Mountain,"9""","11""",37”,PP,7/8,,100%,100%,96%
2025-02-09,Buttermilk,"6""","7""",30”,PP,5/8,100%,100%,89%,0%
2025-02-09,Cooper,"3""","8""",37”,P/PP,5/5,100%,100%,100%,100%
2025-02-09,Copper Mountain,"6""","10""",57”,P,24/24,100%,100%,97%,100%
2025-02-09,Echo Mountain,"0""","0""",18”,MM,2/2,67%,100%,0%,0%
2025-02-09,Eldora,"6""","9""",30”,PP/HP,10/10,100%,97%,100%,90%
2025-02-09,Granby Ranch,"1""","5""",32”,PP,5/5,100%,100%,100%,
2025-02-09,Howelsen Hill,"0""","0""",34”,MM/SP,3/3,100%,88%,100%,
2025-02-09,Loveland Ski Area,"4""","8""",44”,P/PP,10/10,100%,98%,100%,100%
2025-02-09,Monarch,"0""","0""",41”,HP/PP,7/7,100%,100%,100%,88%
2025-02-09,Powderhorn,"2""","3""",35”,PP/HP,5/5,100%,94%,89%,50%
2025-02-09,Purgatory Resort,"0""","0""",33”,PP/P,10/11,88%,100%,88%,58%
2025-02-09,Silverton,"0""","0""",36”,,1/1,,,,100%
2025-02-09,Snowmass,"9""","11""",43”,PP,17/20,100%,100%,100%,92%
2025-02-09,Steamboat,"5""","15""",53”,P,23/23,100%,100%,100%,100%
2025-02-09,Sunlight,"2""","4""",25”,SP/MM,3/3,100%,100%,54%,15%
2025-02-09,Telluride,"0""","0""",37”,PP,17/17,100%,100%,97%,71%
2025-02-09,Winter Park,"11""","16""",56”,P/PP,22/23,100%,100%,99%,58%
2025-02-10,Arapahoe Basin,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Aspen Highlands,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Aspen Mountain,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Buttermilk,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Cooper,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Copper Mountain,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Echo Mountain,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Eldora,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Granby Ranch,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Howelsen Hill,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Loveland Ski Area,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Monarch,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Powderhorn,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Purgatory Resort,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Silverton,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Snowmass,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Steamboat,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Sunlight,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Telluride,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-10,Winter Park,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Arapahoe Basin,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Aspen Highlands,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Aspen Mountain,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Buttermilk,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Cooper,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Copper Mountain,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Echo Mountain,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Eldora,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Granby Ranch,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Howelsen Hill,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Loveland Ski Area,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Monarch,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Powderhorn,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Purgatory Resort,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Silverton,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Snowmass,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Steamboat,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Sunlight,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Telluride,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-11,Winter Park,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-13,Arapahoe Basin,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-13,Aspen Highlands,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-13,Aspen Mountain,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-13,Buttermilk,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-13,Cooper,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-13,Copper Mountain,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-13,Echo Mountain,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-13,Eldora,"0""","0""","0""",0”,0/,0%,0%,0%,0%
2025-02-13,Granby Ranch,"0""","0""","0""",0”,0/,0%,0%,0%,0%
