id,date,name,type,sport_type,day_of_week,distance_miles,distance_km,moving_time_seconds,moving_time_display,elevation_feet,elevation_meters,average_speed_mph,average_pace_min_mile,max_speed_mph,has_heartrate,average_heartrate,max_heartrate,kudos_count
8766871420,2023-03-23,Evening Run,Run,Run,Thursday,11.0,17.7,6162,1h 42m,293,89.4,6.4,9:20,11.9,False,,,0
8799557174,2023-03-29,Afternoon Run,Run,Run,Wednesday,0.44,0.7,217,3m 37s,0,0.0,7.3,8:16,21.3,False,,,0
8810230814,2023-03-30,Afternoon Run,Run,Run,Thursday,2.96,4.76,1519,25m 19s,15,4.7,7.0,8:34,9.8,False,,,0
8875123650,2023-04-11,Evening Run,Run,Run,Tuesday,3.62,5.83,2050,34m 10s,82,25.0,6.4,9:26,17.2,False,,,1
8880935790,2023-04-12,Evening Run,Run,Run,Wednesday,6.97,11.21,4037,1h 7m,148,45.2,6.2,9:39,11.8,False,,,1
8973997335,2023-04-28,Afternoon Run,Run,Run,Friday,18.7,30.09,10805,3h 0m,500,152.4,6.2,9:37,12.2,False,,,0
9029556950,2023-05-07,Lunch Run,Run,Run,Sunday,15.59,25.08,9441,2h 37m,360,109.7,5.9,10:05,16.2,False,,,1
9043058554,2023-05-09,Evening Run,Run,Run,Tuesday,3.46,5.57,1604,26m 44s,22,6.6,7.8,7:43,14.1,False,,,1
9042942125,2023-05-09,Evening Ride,Ride,Ride,Tuesday,1.21,1.94,691,11m 31s,0,0.0,6.3,,9.3,False,,,0
9042823535,2023-05-09,Afternoon Ride,Ride,Ride,Tuesday,11.28,18.16,3009,50m 9s,127,38.7,13.5,,24.1,False,,,0
9042583603,2023-05-09,Afternoon Run,Run,Run,Tuesday,0.81,1.3,449,7m 29s,10,3.0,6.5,9:13,10.0,False,,,0
9115526735,2023-05-21,Afternoon Run,Run,Run,Sunday,17.82,28.68,10956,3h 2m,440,134.1,5.9,10:14,20.4,False,,,1
9112918921,2023-05-21,Denver Colfax Marathon - Part 1,Run,Run,Sunday,7.84,12.62,4207,1h 10m,246,74.9,6.7,8:56,19.9,False,,,3
9220144988,2023-06-07,Morning Run,Run,Run,Wednesday,8.05,12.95,4502,1h 15m,79,24.0,6.4,9:19,10.4,False,,,3
9538475650,2023-07-28,Lunch Run,Run,Run,Friday,2.15,3.46,1156,19m 16s,67,20.3,6.7,8:58,10.9,False,,,1
9577293529,2023-08-03,Afternoon Run,Run,Run,Thursday,2.53,4.07,1364,22m 44s,40,12.2,6.7,8:59,9.9,False,,,1
9588754312,2023-08-05,Redemption run w Aul Dawg,Run,Run,Saturday,6.38,10.27,3805,1h 3m,151,46.1,6.0,9:56,10.2,False,,,2
9627333054,2023-08-11,Morning Run,Run,Run,Friday,4.69,7.54,2809,46m 49s,69,21.0,6.0,9:59,9.2,False,,,1
9744282512,2023-08-29,Lunch Run,Run,Run,Tuesday,2.08,3.34,1147,19m 7s,66,20.1,6.5,9:12,11.7,False,,,2
9751080216,2023-08-30,Lunch Run,Run,Run,Wednesday,2.1,3.38,1117,18m 37s,66,20.1,6.8,8:51,10.6,False,,,0
9792247913,2023-09-05,Evening Run,Run,Run,Tuesday,4.75,7.64,2669,44m 29s,115,35.2,6.4,9:22,14.0,False,,,3
9841816537,2023-09-12,Morning Run,Run,Run,Tuesday,2.59,4.17,1339,22m 19s,0,0.0,7.0,8:36,10.4,False,,,1
9844778740,2023-09-13,Evening Run,Run,Run,Wednesday,3.07,4.94,1523,25m 23s,30,9.2,7.3,8:15,10.5,False,,,2
9883194338,2023-09-19,Afternoon Run,Run,Run,Tuesday,5.0,8.04,2753,45m 53s,99,30.2,6.5,9:10,9.9,False,,,1
9958838013,2023-10-01,Afternoon Hike,Hike,Hike,Sunday,4.71,7.57,6841,1h 54m,1083,330.0,2.5,,5.3,False,,,0
